launch_year,n,active_share,levinv_share
2020,250,0.444,0.064
2021,341,0.5601173020527859,0.02346041055718475
2022,433,0.6443418013856813,0.03233256351039261
2023,390,0.6717948717948717,0.04871794871794872
2024,539,0.7365491651205937,0.00927643784786642
2025,670,0.8522388059701492,0.04626865671641791
2026,525,0.8095238095238095,0.1180952380952381
