quarter,aum_act_B,act_aum_share,act_cnt_share
2019q2,43.578671227587805,0.008757672893685066,0.15668789808917197
2019q3,45.382427108160826,0.008767699648747346,0.14102564102564102
2019q4,70.9021012749298,0.013446768915252977,0.1425012456402591
2020q1,79.00539052022968,0.01414686282939593,0.15002435460301997
2020q2,86.73554253934665,0.015160932240728219,0.1543361097501225
2020q3,65.67442338014646,0.01145629004281084,0.15591397849462366
2020q4,73.69392307202078,0.012594382223976809,0.17777777777777778
2021q1,87.85197123292463,0.014096192521657544,0.19743711438063596
2021q2,97.46744971860147,0.015233706016827013,0.1992498827941866
2021q3,124.10887868211445,0.019093836322028615,0.21262002743484226
2021q4,169.19085619829517,0.024345892881794725,0.2368881118881119
2022q1,227.33693065492707,0.028056229702456383,0.26642036124794743
2022q2,238.94661996052002,0.02822802518451891,0.27021535960991466
2022q3,259.81827208373363,0.030153101932944834,0.2886354699174204
2022q4,270.2787514387186,0.030596348146330717,0.31089258698940997
2023q1,315.82849110949587,0.036254947950142044,0.3244122965641953
2023q2,318.6991029514406,0.03684534086675746,0.3335724533715925
2023q3,329.67606551422375,0.037994968092876814,0.3474426807760141
2023q4,339.35822563455577,0.03918760958003328,0.35839944808554675
2024q1,381.0646977561367,0.04232002732685681,0.3810463968410661
2024q2,385.42675920484885,0.041823979953593854,0.3850687622789784
2024q3,430.77410678355636,0.046071137155465056,0.3936651583710407
2024q4,485.9290741712984,0.0501090764313007,0.4072593048292833
2025q1,582.4005518011347,0.05340933673456049,0.4459110473457676
2025q2,600.1074163233118,0.052773015616313326,0.4522131378629828
2025q3,668.0067754066754,0.05756814449883489,0.4713237292742593
2025q4,685.4149518730808,0.057341151308749914,0.47775900900900903
2026q1,872.3226333646838,0.06691550427250695,0.5171977744056652
