bucket,n_funds,aum,revenue,count_share,aum_share,revenue_share
<0.10%,303,9498063150585.514,4118084461.8727517,0.0793193717277487,0.7289741543250017,0.2512472522389181
0.10-0.20%,379,1286003061083.86,2019630803.3939362,0.09921465968586388,0.0987004380840719,0.12321910698719526
0.20-0.50%,1053,1521273304619.462,4935014580.825853,0.2756544502617801,0.11675737496689627,0.3010887379001516
0.50-1.00%,1822,670034196666.5342,4626233172.51171,0.4769633507853403,0.05142496992702229,0.28224976529051476
>1.00%,263,53981435280.72293,691602152.459785,0.06884816753926702,0.0041430626970077565,0.04219513758322025
