series,year,gross_er,net_er,fee,is_etf_ever,aum,is_active,is_levinv
S000002841,2023.0,0.0005499999999999999,,0.0005499999999999999,True,86321802305.6125,False,False
S000002841,2024.0,0.00035,,0.00035,True,86647743375.84334,False,False
S000002841,2025.0,0.0005,,0.0005,True,104475952873.65,False,False
S000002842,2010.0,,0.0012,0.0012,True,,,
S000002842,2011.0,,0.001,0.001,True,,,
S000002842,2012.0,,0.001,0.001,True,,,
S000002842,2013.0,,0.0009,0.0009,True,,,
S000002842,2014.0,,0.0009,0.0009,True,,,
S000002842,2016.0,0.0008,,0.0008,True,,,
S000002842,2017.0,0.0006,,0.0006,True,,,
S000002842,2018.0,0.0005,,0.0005,True,,,
S000002842,2019.0,0.00045,,0.00045,True,79470031912.11082,False,False
S000002842,2020.0,0.00045,,0.00045,True,90422923929.82918,False,False
S000002842,2021.0,0.00045,,0.00045,True,119517272365.065,False,False
S000002842,2022.0,0.00045,,0.00045,True,165770184586.405,False,False
S000002842,2023.0,0.00045,,0.00045,True,147571366767.39334,False,False
S000002842,2024.0,0.0003,,0.0003,True,171252698668.42166,False,False
S000002842,2025.0,0.00045,,0.00045,True,246213215255.7333,False,False
S000002843,2010.0,,0.0012,0.0012,True,,,
S000002843,2011.0,,0.001,0.001,True,,,
S000002843,2012.0,,0.001,0.001,True,,,
S000002843,2013.0,,0.0009,0.0009,True,,,
S000002843,2014.0,,0.0009,0.0009,True,,,
S000002843,2016.0,0.0008,,0.0008,True,,,
S000002843,2017.0,0.0006,,0.0006,True,,,
S000002843,2018.0,0.0005,,0.0005,True,,,
S000002843,2019.0,0.00045,,0.00045,True,19916961490.928333,False,False
S000002843,2020.0,0.00045,,0.00045,True,22872965990.015835,False,False
S000002843,2021.0,0.00045,,0.00045,True,27485866291.904163,False,False
S000002843,2022.0,0.00045,,0.00045,True,37787655387.57584,False,False
S000002843,2023.0,0.00045,,0.00045,True,37540466650.565,False,False
S000002843,2024.0,0.0003,,0.0003,True,40612087288.47083,False,False
S000002843,2025.0,0.00045,,0.00045,True,52674825146.0075,False,False
S000002844,2010.0,,0.0012,0.0012,True,,,
S000002844,2011.0,,0.001,0.001,True,,,
S000002844,2012.0,,0.001,0.001,True,,,
S000002844,2013.0,,0.0009,0.0009,True,,,
S000002844,2014.0,,0.0009,0.0009,True,,,
S000002844,2016.0,0.0008,,0.0008,True,,,
S000002844,2017.0,0.0006,,0.0006,True,,,
S000002844,2018.0,0.0005,,0.0005,True,,,
S000002844,2019.0,0.0004,,0.0004,True,96947908542.83084,False,False
S000002844,2020.0,0.0004,,0.0004,True,104238678162.02332,False,False
S000002844,2021.0,0.0004,,0.0004,True,110727759929.7508,False,False
S000002844,2022.0,0.0004,,0.0004,True,153067855710.66583,False,False
S000002844,2023.0,0.0004,,0.0004,True,143103373750.11166,False,False
S000002844,2024.0,0.0003,,0.0003,True,144036697376.94415,False,False
S000002844,2025.0,0.0004,,0.0004,True,168424634407.43915,False,False
S000002845,2010.0,,0.0017,0.0017,True,,,
S000002845,2011.0,,0.001,0.001,True,,,
S000002845,2012.0,,0.001,0.001,True,,,
S000002845,2013.0,,0.0009,0.0009,True,,,
S000002845,2014.0,,0.0009,0.0009,True,,,
S000002845,2016.0,0.0008,,0.0008,True,,,
S000002845,2017.0,0.0006,,0.0006,True,,,
S000002845,2018.0,0.0005,,0.0005,True,,,
S000002845,2019.0,0.0005,,0.0005,True,88078601963.71251,False,False
S000002845,2020.0,0.0005,,0.0005,True,91547731384.88416,False,False
S000002845,2021.0,0.0005,,0.0005,True,91088433072.26418,False,False
S000002845,2022.0,0.0005,,0.0005,True,134174330576.5825,False,False
S000002845,2023.0,0.0005,,0.0005,True,118924030382.79169,False,False
S000002845,2024.0,0.0003,,0.0003,True,121116165453.34416,False,False
S000002845,2025.0,0.0005,,0.0005,True,146125991280.46667,False,False
S000002846,2010.0,,0.0012,0.0012,True,,,
S000002846,2011.0,,0.001,0.001,True,,,
S000002846,2012.0,,0.001,0.001,True,,,
S000002846,2013.0,,0.0009,0.0009,True,,,
S000002846,2014.0,,0.0009,0.0009,True,,,
S000002846,2016.0,0.0008,,0.0008,True,,,
S000002846,2017.0,0.0007,,0.0007,True,,,
S000002846,2018.0,0.0007,,0.0007,True,,,
S000002846,2019.0,0.0007,,0.0007,True,22764345844.439167,False,False
S000002846,2020.0,0.0007,,0.0007,True,24324074614.444164,False,False
S000002846,2021.0,0.0007,,0.0007,True,26517741397.179996,False,False
S000002846,2022.0,0.0007,,0.0007,True,36982347859.85083,False,False
S000002846,2023.0,0.0007,,0.0007,True,28575309195.5525,False,False
S000002846,2024.0,0.0005,,0.0005,True,29411313004.21417,False,False
S000002846,2025.0,0.0007,,0.0007,True,35322904874.03333,False,False
S000002847,2010.0,,0.0023,0.0023,True,,,
S000002847,2011.0,,0.0021,0.0021,True,,,
S000002847,2012.0,,0.001,0.001,True,,,
S000002847,2013.0,,0.0009,0.0009,True,,,
S000002847,2014.0,,0.0009,0.0009,True,,,
S000002847,2016.0,0.0008,,0.0008,True,,,
S000002847,2017.0,0.0007,,0.0007,True,,,
S000002847,2018.0,0.0007,,0.0007,True,,,
S000002847,2019.0,0.0007,,0.0007,True,30063456977.05833,False,False
S000002847,2020.0,0.0007,,0.0007,True,30377509210.073338,False,False
S000002847,2021.0,0.0007,,0.0007,True,28364180262.542496,False,False
S000002847,2022.0,0.0007,,0.0007,True,46628922441.385,False,False
S000002847,2023.0,0.0007,,0.0007,True,46775762039.27167,False,False
S000002847,2024.0,0.0005,,0.0005,True,47900785068.550835,False,False
S000002847,2025.0,0.0007,,0.0007,True,55783610851.28917,False,False
S000002848,2010.0,,0.0007,0.0007,True,,,
S000002848,2011.0,,0.0006,0.0006,True,,,
S000002848,2012.0,,0.0005,0.0005,True,,,
S000002848,2013.0,,0.0005,0.0005,True,,,
S000002848,2014.0,,0.0005,0.0005,True,,,
S000002848,2016.0,0.0005,,0.0005,True,,,
S000002848,2017.0,0.0004,,0.0004,True,,,
S000002848,2018.0,0.0004,,0.0004,True,,,
S000002848,2019.0,0.0003,,0.0003,True,706080301550.4225,False,False
S000002848,2020.0,0.0003,,0.0003,True,810057137876.285,False,False
S000002848,2021.0,0.0003,,0.0003,True,907557768667.839,False,False
S000002848,2022.0,0.0003,,0.0003,True,1244597062285.6033,False,False
S000002848,2023.0,0.0003,,0.0003,True,1198460815791.7666,False,False
S000002848,2024.0,0.0006,,0.0006,True,1314593382625.5608,False,False
S000002848,2025.0,0.0003,,0.0003,True,1657803028650.829,False,False
S000002924,2011.0,,0.0012,0.0012,True,,,
S000002924,2012.0,,0.001,0.001,True,,,
S000002924,2013.0,,0.001,0.001,True,,,
S000002924,2014.0,,0.001,0.001,True,,,
S000002924,2015.0,,0.0012,0.0012,True,,,
S000002924,2016.0,0.0012,,0.0012,True,,,
S000002924,2017.0,0.0012,,0.0012,True,,,
S000002924,2018.0,0.0012,,0.0012,True,,,
S000002924,2019.0,0.0012,,0.0012,True,57866013434.9725,False,False
S000002924,2020.0,0.0012,,0.0012,True,66707000852.22833,False,False
S000002924,2021.0,0.0012,,0.0012,True,57342216455.50833,False,False
S000002924,2022.0,0.0012,,0.0012,True,78622832761.69,False,False
S000002924,2023.0,0.0012,,0.0012,True,72966281779.315,False,False
S000002924,2024.0,0.0013,,0.0013,True,61334716789.285835,False,False
S000002924,2025.0,0.0013,,0.0013,True,65820013929.61666,False,False
S000002932,2010.0,,0.002,0.002,True,,,
S000002932,2011.0,,0.0018,0.0018,True,,,
S000002932,2012.0,,0.0016,0.0016,True,,,
S000002932,2013.0,,0.0014,0.0014,True,,,
S000002932,2014.0,,0.0014,0.0014,True,,,
S000002932,2016.0,0.0005,,0.0005,True,,,
S000002932,2017.0,0.0011,,0.0011,True,,,
S000002932,2018.0,0.0011,,0.0011,True,,,
S000002932,2019.0,0.0009,,0.0009,True,343637448361.8483,False,False
S000002932,2020.0,0.0008,,0.0008,True,366659089595.889,False,False
S000002932,2021.0,0.0008,,0.0008,True,395167929816.50494,False,False
